sensor_id,timestamp,temperature_C,humidity_percent,pressure_mbar
sensor_1,2025-07-01 01:00:00+00:00,22.51,51.3,1013.54
sensor_1,2025-07-01 01:01:00+00:00,23.19,69.21,1010.72
sensor_1,2025-07-01 01:02:00+00:00,21.99,67.74,1026.07
sensor_1,2025-07-01 01:03:00+00:00,24.89,69.71,1015.5
sensor_1,2025-07-01 01:04:00+00:00,22.71,50.52,1014.08
sensor_1,2025-07-01 01:05:00+00:00,20.28,42.29,1006.71
sensor_1,2025-07-01 01:06:00+00:00,23.98,63.59,1012.66
sensor_1,2025-07-01 01:07:00+00:00,21.35,59.33,1014.17
sensor_1,2025-07-01 01:08:00+00:00,20.16,42.3,1018.41
sensor_1,2025-07-01 01:09:00+00:00,19.24,68.51,1012.67
sensor_1,2025-07-01 01:10:00+00:00,21.75,67.79,1011.46
sensor_1,2025-07-01 01:11:00+00:00,22.87,48.84,1012.18
sensor_1,2025-07-01 01:12:00+00:00,24.44,61.25,1022.43
sensor_1,2025-07-01 01:13:00+00:00,19.37,61.54,1006.41
sensor_1,2025-07-01 01:14:00+00:00,24.29,40.86,1010.22
sensor_1,2025-07-01 01:15:00+00:00,24.47,49.57,1012.8
sensor_1,2025-07-01 01:16:00+00:00,22.87,65.98,1019.03
sensor_1,2025-07-01 01:17:00+00:00,25.09,50.57,1014.41
sensor_1,2025-07-01 01:18:00+00:00,22.31,48.74,1008.33
sensor_1,2025-07-01 01:19:00+00:00,24.19,56.44,1008.89
sensor_1,2025-07-01 01:20:00+00:00,22.6,44.63,1009.92
sensor_1,2025-07-01 01:21:00+00:00,23.89,66.68,1018.37
sensor_1,2025-07-01 01:22:00+00:00,21.68,66.47,1015.65
sensor_1,2025-07-01 01:23:00+00:00,24.82,57.73,1016.64
sensor_1,2025-07-01 01:24:00+00:00,20.75,43.82,1010.7
sensor_1,2025-07-01 01:25:00+00:00,21.64,49.29,1023.07
sensor_1,2025-07-01 01:26:00+00:00,22.21,66.39,1014.52
sensor_1,2025-07-01 01:27:00+00:00,20.86,61.75,1009.88
sensor_1,2025-07-01 01:28:00+00:00,21.52,52.54,1006.9
sensor_1,2025-07-01 01:29:00+00:00,22.49,49.32,1015.3
sensor_1,2025-07-01 01:30:00+00:00,20.24,53.16,1009.54
sensor_1,2025-07-01 01:31:00+00:00,20.69,44.63,1012.78
sensor_1,2025-07-01 01:32:00+00:00,22.65,51.68,1015.65
sensor_1,2025-07-01 01:33:00+00:00,22.69,67.07,1011.54
sensor_1,2025-07-01 01:34:00+00:00,24.07,66.96,1014.52
sensor_1,2025-07-01 01:35:00+00:00,22.48,64.84,1009.85
sensor_1,2025-07-01 01:36:00+00:00,22.64,59.6,1003.56
sensor_1,2025-07-01 01:37:00+00:00,24.31,52.94,1014.83
sensor_1,2025-07-01 01:38:00+00:00,24.44,51.27,1010.37
sensor_1,2025-07-01 01:39:00+00:00,20.8,63.12,1016.68
sensor_1,2025-07-01 01:40:00+00:00,20.74,67.91,1005.94
sensor_1,2025-07-01 01:41:00+00:00,21.21,43.47,1011.95
sensor_1,2025-07-01 01:42:00+00:00,17.09,64.9,1004.59
